province,year,cultivated_area_winter_spring,rice_yield_winter_spring,rice_production_winter_spring,cultivated_area_summer_autumn,rice_yield_summer_autumn,rice_production_summer_autumn,cultivated_area_main_season,rice_yield_main_season,rice_production_main_season
Long An,1995,156,37.8,589.5,120,29.2,350,49.7,15.4,76.3
Long An,1996,181.6,40.5,735.7,146.5,24.8,363.5,43.2,19,82
Long An,1997,205.9,42.1,866,130.6,23.3,304.4,38,18.5,70.2
Long An,1998,218.3,43.7,953.2,149.5,24.5,366.3,32.3,25.1,81
Long An,1999,234.6,40.7,956,174.2,29.6,516.3,32.4,15.6,50.5
Long An,2000,255.3,42.8,1093.4,171.8,25.8,442.6,26,14.3,37.3
Long An,2001,261.4,43.5,1138.3,155.3,28,435.2,24.2,21.8,52.7
Long An,2002,244.6,48.7,1192.3,166.2,29.9,496.2,22.5,22.3,50.1
Long An,2003,233.4,50.2,1172.6,168.6,32.3,544.8,22.1,25.1,55.4
Long An,2004,230.2,50.5,1163.5,181.5,37.5,680,21.7,27.3,59.2
Long An,2005,235.5,53.3,1255.4,174.9,35.6,622.9,18.9,29.6,55.9
Long An,2006,234.5,51,1196.9,183.2,29.1,533.6,15.5,25.1,38.9
Long An,2007,234.2,52.1,1220.4,178.8,39.3,703.5,15.4,17.3,26.7
Long An,2008,240,54,1296.8,201.7,41.4,834.5,15.3,30.6,46.8
Long An,2009,249,53.1,1322.8,201.3,40.3,810.7,13.3,18.9,25.1
Long An,2010,251.1,57.2,1436.6,207.7,39.9,828.8,12.3,32,39.4
Long An,2011,254,58.5,1486,220.2,46.8,1031.5,10,33.2,33.2
Long An,2012,262.1,60.9,1596.5,227.4,45.3,1030.6,10.1,36,36.4
Long An,2013,232.7,63.5,1477.9,286.2,45.7,1307.4,8.8,35,30.8
Long An,2014,235.5,67.1,1580.5,274.9,45.4,1247.9,8.8,36.6,32.2
Long An,2015,233.9,67.1,1569.7,283.9,46.9,1331,5.1,35.3,18
Long An,2016,232.5,60.5,1406.5,292.6,47.5,1390.2,2.3,23.9,5.5
Long An,2017,234.2,55.9,1310,290.3,45.7,1327,2.2,28.2,6.2
Long An,2018,235.6,61.2,1441.3,273.5,49.5,1354.4,2.2,31.8,7
Long An,2019,232,63.4,1471.3,272.2,47.6,1295.9,2.1,36.7,7.7
Long An,2020,227.2,64.9,1474.1,273.6,49.3,1349.4,1.8,37.2,6.7
Long An,2021,225.9,66.5,1502.5,283.7,49.9,1417.2,1.7,34.7,5.9
Long An,2022,225.9,64.5,1456.6,281.5,49.7,1397.9,1.6,41.3,6.6
Long An,2023,225.2,67.8,1526.6,289.8,53.4,1549,1.3,40.8,5.4
Long An,2024,235.7,66.1,1557.1,302.1,54.9,1659.3,1.1,44,4.8
Tien Giang,1995,79.3,55,435.8,178.6,40,714,11.4,36.7,41.8
Tien Giang,1996,87.7,53.4,468,183.6,40.4,741.1,8.9,20.2,18
Tien Giang,1997,96.1,56.2,539.7,185,40.9,757.1,7.6,30.1,22.9
Tien Giang,1998,95.2,53.8,512.2,180.1,43.8,789.1,6.2,30,18.6
Tien Giang,1999,95.9,50.9,488.4,187.2,43,804.7,3.3,26.1,8.6
Tien Giang,2000,94.7,56.8,537.9,184.9,40.8,754.5,2.8,31.1,8.7
Tien Giang,2001,94.2,57.2,539,179.6,41.3,741,2.3,33,7.6
Tien Giang,2002,90.4,61.3,554.4,174.6,41.9,730.9,0,0,0
Tien Giang,2003,89.1,58.7,522.9,171.7,43.4,745.1,0,0,0
Tien Giang,2004,88.1,60,528.3,171.3,45.9,787,0,0,0
Tien Giang,2005,85.7,61.6,527.6,166.2,46.7,775.6,0,0,0
Tien Giang,2006,83.9,59.8,501.9,163.9,43.5,712.4,0,0,0
Tien Giang,2007,83.4,63.7,531.2,163.4,47.5,775.5,0,0,0
Tien Giang,2008,82.6,66.7,551.2,162.3,47.4,769.8,0,0,0
Tien Giang,2009,82.7,64.7,535.1,163.7,47.2,772.9,0,0,0
Tien Giang,2010,81.9,65.6,537.2,162.1,48.3,783.4,0,0,0
Tien Giang,2011,81,66.7,540.4,160.8,49.3,792.4,0,0,0
Tien Giang,2012,80.6,69.8,562.3,160.8,50.2,807.7,0,0,0
Tien Giang,2013,79.3,69,547.5,156.3,51.3,801.2,0,0,0
Tien Giang,2014,77.4,72,557.5,153.2,53.1,812.8,0,0,0
Tien Giang,2015,75.1,72,541,149.6,53.7,803.4,0,0,0
Tien Giang,2016,74.2,67.8,503.1,141.2,54.2,765.1,0,0,0
Tien Giang,2017,71.6,65.7,470.5,139.2,55.9,778.8,0,0,0
Tien Giang,2018,68.8,74.6,513.2,132.5,55.9,741.2,0,0,0
Tien Giang,2019,64.9,71.9,466.6,119.4,55,656.5,0,0,0
Tien Giang,2020,57.6,64.9,374,78.4,54.5,427.2,0,0,0
Tien Giang,2021,51.7,71.1,367.2,80.2,58.5,469,0,0,0
