id_vụ,year,yield_class,yield_class_encoded,pat_016__stage_2_Mát-Khô__stage_3_Mát-Khô,pat_017__stage_1_Mát-Khô__stage_3_Mát-Khô,pat_009__stage_1_Mát-Khô__stage_2_Mát-Khô__stage_3_Mát-Khô,pat_030__stage_2_Mát-Khô__stage_3_Mát-Khô__stage_4_Mát-Khô,pat_027__stage_2_Mát-Khô__stage_3_Mát-Khô__stage_5_Mát-Khô,pat_004__stage_3_Vừa-Khô,pat_006__stage_1_Mát-Khô__stage_2_Mát-Khô,pat_011__stage_2_Mát-Khô__stage_4_Mát-Khô,pat_008__stage_2_Mát-Khô__stage_5_Mát-Khô,pat_025__stage_2_Mát-Vừa,pat_031__stage_2_Mát-Khô__stage_4_Mát-Khô__stage_5_Mát-Khô,pat_003__stage_1_Mát-Khô,pat_022__stage_4_Vừa-Vừa__stage_5_Vừa-Vừa,pat_019__stage_5_Mát-Vừa,stage_4_avg_temp,pat_002__stage_3_Mát-Khô__stage_4_Mát-Khô,pat_021__stage_3_Vừa-Vừa__stage_4_Vừa-Vừa,pat_024__stage_3_Vừa-Vừa__stage_5_Vừa-Vừa,pat_005__stage_2_Vừa-Ướt__stage_5_Vừa-Vừa,stage_3_avg_et0,pat_028__stage_1_Mát-Vừa,pat_010__stage_2_Vừa-Vừa__stage_5_Vừa-Vừa,pat_000__stage_3_Mát-Khô__stage_4_Mát-Khô__stage_5_Mát-Khô,pat_001__stage_3_Mát-Khô__stage_5_Mát-Khô,stage_3_avg_temp,pat_026__stage_4_Mát-Ướt,pat_020__stage_1_Mát-Vừa__stage_4_Mát-Khô,stage_5_avg_et0,stage_2_total_precip,stage_1_avg_temp
Long An_1995_winter_spring,1995,Low,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26.43908338546753,0,0,0,0,4.36910400390625,0,0,0,0,26.674082692464193,0,0,5.1763694381713865,27.899999983608723,27.20436059860956
Tien Giang_1995_winter_spring,1995,Medium,2,1,1,1,1,1,0,1,1,1,0,1,1,0,0,25.91870861053467,1,0,0,0,4.252577416102091,0,0,1,1,25.870304743448894,0,0,5.039116516113281,38.69999973475933,26.769034976050968
Tien Giang_1995_summer_autumn,1995,Medium,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.98985357284546,0,0,0,0,4.317402362823486,0,0,0,0,27.988776652018228,0,0,3.644486894607544,82.00000075995922,29.154848007928756
Tien Giang_1995_main_season,1995,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.358498954772948,0,1,0,0,3.67579820950826,0,0,0,0,26.576276779174805,0,0,3.430181107521057,239.4999982714653,28.585503078642347
Bac Lieu_1995_main_season,1995,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.645395374298097,0,1,0,0,3.892465416590373,0,0,0,0,26.94799830118815,0,0,3.422643585205078,182.59999890625477,28.658970605759393
Bac Lieu_1995_summer_autumn,1995,Low,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.39622802734375,0,0,0,0,4.430950816472372,0,0,0,0,28.296192932128907,0,0,3.732388677597046,62.799999728798866,28.91641108194987
Ben Tre_1995_winter_spring,1995,Low,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,25.790019989013672,1,0,0,0,4.154909722010294,0,0,1,1,25.720331954956055,0,0,4.90453685760498,38.69999973475933,26.664281481788272
Ben Tre_1995_summer_autumn,1995,Medium,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.020540142059325,0,0,0,0,4.313544511795044,0,0,0,0,28.04658292134603,0,0,3.6347737216949465,82.00000075995922,29.013984044392902
Ben Tre_1995_main_season,1995,Medium,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.410853576660156,0,1,0,0,3.6675300121307375,0,0,0,0,26.666305033365884,0,0,3.420892992019654,239.4999982714653,28.625094913301012
Soc Trang_1995_main_season,1995,Medium,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.331582927703856,0,1,0,0,3.8305862744649257,0,0,0,0,26.651862589518228,0,0,3.401596121788025,194.3000035583973,28.608369282313756
Soc Trang_1995_summer_autumn,1995,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.067105102539063,0,0,0,0,4.300848706563314,0,0,0,0,28.085056432088216,0,0,3.6483046054840087,52.80000253021717,28.98217891511463
Tra Vinh_1995_winter_spring,1995,High,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,25.817541694641115,1,0,0,0,4.321068827311198,0,0,1,1,25.763999684651697,0,0,4.964673862457276,48.69999904930592,26.706539154052734
Tra Vinh_1995_summer_autumn,1995,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.03493776321411,0,0,0,0,4.317940346399943,0,0,0,0,28.07427775065104,0,0,3.668370189666748,87.60000226646662,28.969733919416154
Tra Vinh_1995_main_season,1995,Low,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.423999118804932,0,1,0,0,3.742430798212687,0,0,0,0,26.723861185709634,0,0,3.463660297393799,248.09999531507492,28.623701822190057
Can Tho_1995_main_season,1995,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.344143676757813,0,1,0,0,3.665407387415568,0,0,0,0,26.690498733520503,0,0,3.2455021858215334,181.30000112205744,28.592403048560733
Can Tho_1995_summer_autumn,1995,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.085915565490723,0,0,0,0,4.232383410135905,0,0,0,0,28.140220642089844,0,0,3.5428785610198976,77.5000024586916,29.64756320771717
Can Tho_1995_winter_spring,1995,Low,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,25.986540603637696,1,0,0,0,4.105513509114584,0,0,1,1,25.762304941813152,0,0,4.979325065612793,31.30000101774931,26.64508292788551
Kien Giang_1995_main_season,1995,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.603459072113036,0,0,0,0,3.811033042271932,0,0,0,0,27.051861317952476,0,0,3.4197054433822633,180.89999794960025,28.67265546889532
Kien Giang_1995_summer_autumn,1995,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.54002151489258,0,0,0,0,4.310999075571696,0,0,0,0,28.192834599812823,0,0,3.6338844203948977,89.80000193417072,29.89061228434245
