id_vụ,year,yield_class,yield_class_encoded,stage_1_total_precip,stage_1_avg_et0,stage_2_count_heat_days,stage_2_avg_et0,stage_3_total_precip,stage_3_count_heat_days,stage_3_avg_et0,stage_4_avg_temp,stage_4_total_precip,stage_4_avg_et0,stage_5_total_precip,stage_5_avg_et0,pat_000__stage_1_Mát-Khô__stage_2_Mát-Khô,pat_001__stage_2_Mát-Khô__stage_3_Mát-Khô__stage_5_Mát-Khô,pat_002__stage_4_Mát-Khô__stage_5_Mát-Khô,pat_003__stage_2_Mát-Khô__stage_4_Mát-Khô__stage_5_Mát-Khô,pat_008__stage_3_Mát-Vừa,pat_009__stage_1_Mát-Vừa__stage_3_Mát-Khô,pat_010__stage_1_Mát-Khô__stage_3_Mát-Khô,pat_011__stage_1_Mát-Vừa,pat_012__stage_1_Mát-Vừa__stage_4_Mát-Khô,pat_013__stage_2_Mát-Khô__stage_3_Mát-Khô,pat_014__stage_2_Mát-Khô__stage_4_Mát-Khô,pat_015__stage_5_Mát-Khô,pat_016__stage_5_Mát-Vừa,pat_017__stage_4_Mát-Khô__stage_5_Vừa-Khô,pat_018__stage_3_Vừa-Khô,pat_019__stage_4_Vừa-Vừa__stage_5_Vừa-Vừa,pat_020__stage_1_Mát-Khô__stage_2_Mát-Khô__stage_3_Mát-Khô,pat_021__stage_2_Vừa-Ướt__stage_3_Vừa-Vừa,pat_022__stage_2_Vừa-Ướt__stage_5_Vừa-Vừa,pat_023__stage_3_Mát-Khô__stage_4_Mát-Khô,pat_024__stage_2_Vừa-Vừa__stage_5_Vừa-Vừa,pat_025__stage_3_Vừa-Vừa__stage_4_Vừa-Vừa,pat_026__stage_1_Mát-Khô,pat_027__stage_1_Mát-Ướt,pat_028__stage_4_Mát-Ướt,pat_029__stage_3_Mát-Khô__stage_5_Mát-Khô,pat_030__stage_3_Vừa-Vừa__stage_5_Vừa-Vừa,pat_031__stage_5_Vừa-Khô
Long An_1995_winter_spring,1995,Low,1,10.799999937415125,4.051189309074765,0.0,3.765020046234131,2.0000000596046448,0.0,4.36910400390625,26.43908338546753,22.299999043345455,4.47525384426117,0.7000000178813934,5.1763694381713865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tien Giang_1995_winter_spring,1995,Medium,2,22.799999684095383,4.005243834995088,0.0,3.6624737405776977,3.300000190734863,0.0,4.252577416102091,25.91870861053467,11.90000019222498,4.551205182075501,0.9000000208616257,5.039116516113281,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Tien Giang_1995_summer_autumn,1995,Medium,2,8.500000230967999,5.5317510196140836,1.0,4.7126126480102535,94.19999998807909,0.0,4.317402362823486,26.98985357284546,214.79999923706055,3.7068896889686584,197.49999737739563,3.644486894607544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tien Giang_1995_main_season,1995,High,0,77.69999997317791,4.640637636184692,0.0,3.892976484298706,115.89999830722807,0.0,3.67579820950826,26.358498954772948,146.89999997615814,3.702457582950592,307.9999920129776,3.430181107521057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bac Lieu_1995_main_season,1995,High,0,69.30000165849924,4.7202239717756,0.0,3.928601036071777,118.0999983549118,0.0,3.892465416590373,26.645395374298097,186.0000038146973,3.650374007225037,249.20000088214871,3.422643585205078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bac Lieu_1995_summer_autumn,1995,Low,1,24.200000144541264,5.748090698605492,0.0,4.889773273468018,79.60000224411488,0.0,4.430950816472372,27.39622802734375,166.09999668598175,3.6603725075721742,225.59999918937683,3.732388677597046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Tre_1995_winter_spring,1995,Low,1,22.799999684095383,3.925649438585554,0.0,3.6089537000656127,3.300000190734863,0.0,4.154909722010294,25.790019989013672,11.90000019222498,4.440549790859222,0.9000000208616257,4.90453685760498,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Ben Tre_1995_summer_autumn,1995,Medium,2,8.500000230967999,5.4214710508074075,0.0,4.686173057556152,94.19999998807909,0.0,4.313544511795044,27.020540142059325,214.79999923706055,3.688815915584564,197.49999737739563,3.6347737216949465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Tre_1995_main_season,1995,Medium,2,77.69999997317791,4.630853380475726,0.0,3.881080369949341,115.89999830722807,0.0,3.6675300121307375,26.410853576660156,146.89999997615814,3.689230096340179,307.9999920129776,3.420892992019654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Soc Trang_1995_main_season,1995,Medium,2,67.00000074505806,4.6322560878027055,0.0,3.8174484729766847,119.7999986410141,0.0,3.8305862744649257,26.331582927703856,147.8999969959259,3.5764413714408874,244.80000495910645,3.401596121788025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Soc Trang_1995_summer_autumn,1995,High,0,15.000000156462193,5.63556702931722,0.0,4.816165752410889,75.799999833107,0.0,4.300848706563314,27.067105102539063,177.2000040113926,3.578030633926391,203.499996304512,3.6483046054840087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tra Vinh_1995_winter_spring,1995,High,0,13.000000447034836,4.029779502323696,0.0,3.6604596519470216,1.8000000566244128,0.0,4.321068827311198,25.817541694641115,9.299999475479128,4.61431587934494,0.8000000193715096,4.964673862457276,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Tra Vinh_1995_summer_autumn,1995,High,0,14.599999904632568,5.462800184885661,0.0,4.7291514015197755,87.59999841451645,0.0,4.317940346399943,27.03493776321411,227.99999737739563,3.656101107597351,204.10000121593475,3.668370189666748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tra Vinh_1995_main_season,1995,Low,1,84.00000035017729,4.6257423105694,0.0,3.8646850204467778,116.00000166893004,0.0,3.742430798212687,26.423999118804932,156.50000095367432,3.6905009746551514,297.49999368190765,3.463660297393799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Can Tho_1995_main_season,1995,High,0,56.10000139474869,4.5785628613971525,0.0,3.782746429443359,88.00000128895044,0.0,3.665407387415568,26.344143676757813,129.6999985948205,3.5054110646247865,322.90000569820404,3.2455021858215334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Can Tho_1995_summer_autumn,1995,High,0,9.90000020712614,5.705951077597482,2.0,4.687468023300171,61.20000109821558,0.0,4.232383410135905,27.085915565490723,163.800000526011,3.5893021702766417,158.10000178962946,3.5428785610198976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Can Tho_1995_winter_spring,1995,Low,1,31.8999999165535,3.8405465398515974,0.0,3.556115536689758,1.700000025331974,0.0,4.105513509114584,25.986540603637696,5.800000049173832,4.55648193359375,0.3000000044703483,4.979325065612793,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Kien Giang_1995_main_season,1995,High,0,69.9000009894371,4.794806616646903,0.0,3.926319732666016,96.2999987602234,0.0,3.811033042271932,26.603459072113036,201.6999990940094,3.557373356819153,355.9000056385994,3.4197054433822633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kien Giang_1995_summer_autumn,1995,High,0,42.80000074207783,5.626023133595784,2.0,4.849895238876343,97.99999922513962,0.0,4.310999075571696,27.54002151489258,122.49999809265135,3.8299150347709654,216.10000026226044,3.6338844203948977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kien Giang_1995_winter_spring,1995,High,0,21.90000027418137,3.8481900578453425,0.0,3.68424979686737,6.100000157952309,0.0,4.207191530863444,26.19897871017456,8.000000029802322,4.455449748039245,3.000000037252903,4.995009937286377,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Vinh Long_1995_winter_spring,1995,Low,1,17.2999998703599,3.90278528985523,0.0,3.6023179578781126,2.700000107288361,0.0,4.180505021413167,26.07287521362305,11.699999906122684,4.500964820384979,0.1000000014901161,5.050092029571533,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Vinh Long_1995_summer_autumn,1995,High,0,7.200000032782555,5.6364088285537,2.0,4.661264600753785,75.00000017881393,0.0,4.225005563100179,27.09412431716919,179.30000483989716,3.6536269307136537,199.3000054359436,3.5529279327392578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vinh Long_1995_main_season,1995,Medium,2,78.1000000089407,4.584474211647397,0.0,3.8236152744293217,104.29999995231628,0.0,3.626605049769083,26.373812866210937,160.50000596046448,3.570076584815979,285.29999566078186,3.3191910362243653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
An Giang_1995_main_season,1995,Low,1,35.20000023394823,4.88409484000433,0.0,4.081231508255005,106.70000074058773,0.0,3.8614348411560058,26.75154161453247,137.90000514686108,3.709635591506958,254.49999886751175,3.4649389791488647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
An Giang_1995_summer_autumn,1995,High,0,9.499999895691872,5.758206662677583,2.0,4.824321622848511,51.19999971985817,0.0,4.514797258377075,27.650188064575197,119.90000299364328,3.955287218093872,194.10000632703304,3.7245484256744383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
An Giang_1995_winter_spring,1995,Medium,2,10.999999769032,3.859755118687948,0.0,3.694817280769348,3.2000002190470695,0.0,4.17770250638326,26.09175043106079,12.299999721348286,4.34772937297821,0.0,5.006621360778809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Dong Thap_1995_winter_spring,1995,Low,1,10.900000363588331,3.952255600974673,0.0,3.722276334762573,1.900000095367432,0.0,4.239013417561849,26.17414426803589,11.299999848008156,4.405688691139221,0.300000011920929,5.075308456420898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Dong Thap_1995_summer_autumn,1995,High,0,8.899999938905239,5.816786902291434,3.0,4.779903039932251,74.09999940544367,0.0,4.467238807678223,27.519665908813476,155.20000100135803,3.883263194561005,208.60000053048137,3.6794411277771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ca Mau_1995_summer_autumn,1995,High,0,32.600000098347664,5.4753792853582475,3.0,4.697132110595703,116.0000011920929,0.0,4.293560679753622,27.248082542419432,207.60000157356265,3.511100447177887,305.90000200271606,3.6709506511688232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ca Mau_1995_main_season,1995,Low,1,102.8999992609024,4.567823852811541,0.0,3.7396515560150143,223.70000004768372,0.0,3.860201629002889,26.473187351226805,195.79999995231628,3.535113477706909,377.2999975681305,3.28114333152771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soc Trang_1995_winter_spring,1995,High,0,31.09999806433916,4.12518622761681,0.0,3.731599371433258,0.6000000089406967,0.0,4.5396043459574384,25.85814647674561,7.100000053644181,4.913215243816376,0.3000000044703483,5.020584621429443,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Long An_1995_summer_autumn,1995,High,0,7.200000047683716,5.980853285108294,6.0,4.888817949295044,75.40000231564045,0.0,4.4339735825856526,27.156270694732665,173.2000057697296,3.8300026297569274,245.5000061392784,3.676655874252319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long An_1995_main_season,1995,Medium,2,75.3000014424324,4.827374844324021,0.0,3.993965711593628,131.80000519752502,0.0,3.712463235855102,26.46179094314575,175.10000437498093,3.764818155765534,268.2999996095896,3.4735559844970703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Tien Giang_1996_winter_spring,1996,Low,1,80.90000030398369,3.146624917075747,0.0,3.335177903175354,1.3000000044703484,0.0,3.764841985702515,24.927249050140382,36.30000248551369,3.486227869987488,2.9000000283122063,4.4573830890655515,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Dong Thap_1996_summer_autumn,1996,High,0,90.7000003606081,4.522259973344349,0.0,3.7164851665496825,107.60000228881836,0.0,3.6775438944498697,26.97977056503296,126.40000037103891,3.876167976856232,172.09999799728394,3.353429174423218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dong Thap_1996_winter_spring,1996,Low,1,59.99999751150608,3.503521845454262,0.0,3.922845592498779,1.3000000193715096,0.0,3.8527626514434816,25.369977951049805,32.80000128597021,3.587722736597061,3.0000000447034836,4.55979434967041,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Vinh Long_1996_main_season,1996,Low,1,180.00000476837158,3.472020319529942,0.0,3.397411389350891,89.60000163316727,0.0,3.741663853327433,26.369332218170165,140.00000035762787,3.318571811914444,197.50000244379044,3.6871127796173098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Long An_1996_winter_spring,1996,Medium,2,59.59999971836805,3.3520599830718267,0.0,3.733371901512146,0.7000000029802322,0.0,3.980514923731486,25.546165657043456,26.400000870227817,3.758895480632782,2.200000047683716,4.734049196243286,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Long An_1996_summer_autumn,1996,Medium,2,85.49999935179949,4.5535295350211005,0.0,3.652600212097168,115.10000067949296,0.0,3.6084352016448977,26.8404372215271,131.79999801516533,3.831011378765106,159.1000079214573,3.5391790962219236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Long An_1996_main_season,1996,High,0,192.2000026702881,3.57809126944769,0.0,3.485189075469971,80.90000215172768,0.0,3.951190837224325,26.61939525604248,116.40000620484352,3.5848357677459717,197.1999985948205,3.805320672988892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
An Giang_1996_winter_spring,1996,Medium,2,42.59999975562096,3.5860978819075084,0.0,4.011146230697632,1.6000000536441803,0.0,3.872266960144043,25.37685422897339,31.399999663233753,3.591445338726044,3.7000000923871994,4.5183345985412595,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
An Giang_1996_summer_autumn,1996,Medium,2,98.79999902099372,4.535148552485874,0.0,3.7694930839538574,98.1000007390976,0.0,3.8064584573109945,27.022376823425297,133.80000062286854,3.8984344244003295,201.8000019788742,3.3459672689437867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
