province,year,season,cultivated_area,rice_yield,rice_production,yield_class,expected_yield,residual
Long An,1995,winter_spring,156.0,37.8,589.5,Low,40.323225806451774,-2.5232258064517765
Long An,1995,summer_autumn,120.0,29.2,350.0,High,24.30236559139803,4.89763440860197
Long An,1995,main_season,49.7,15.4,76.3,Low,16.595483870967882,-1.1954838709678821
Long An,1996,winter_spring,181.6,40.5,735.7,Medium,41.33334816462752,-0.8333481646275231
Long An,1996,summer_autumn,146.5,24.8,363.5,Medium,25.35760474601466,-0.5576047460146576
Long An,1996,main_season,43.2,19.0,82.0,Medium,17.410967741935565,1.5890322580644352
Long An,1997,winter_spring,205.9,42.1,866.0,Medium,42.34347052280327,-0.2434705228032712
Long An,1997,summer_autumn,130.6,23.3,304.4,Low,26.412843900630833,-3.112843900630832
Long An,1997,main_season,38.0,18.5,70.2,Medium,18.226451612903475,0.2735483870965254
Long An,1998,winter_spring,218.3,43.7,953.2,Medium,43.35359288097902,0.34640711902098076
Long An,1998,summer_autumn,149.5,24.5,366.3,Low,27.468083055247007,-2.968083055247007
Long An,1998,main_season,32.3,25.1,81.0,High,19.041935483871157,6.0580645161288444
Long An,1999,winter_spring,234.6,40.7,956.0,Low,44.36371523915477,-3.6637152391547687
Long An,1999,summer_autumn,174.2,29.6,516.3,High,28.52332220986318,1.07667779013682
Long An,1999,main_season,32.4,15.6,50.5,Low,19.85741935483884,-4.25741935483884
Long An,2000,winter_spring,255.3,42.8,1093.4,Low,45.37383759733052,-2.573837597330524
Long An,2000,summer_autumn,171.8,25.8,442.6,Low,29.578561364479356,-3.778561364479355
Long An,2000,main_season,26.0,14.3,37.3,Low,20.67290322580652,-6.372903225806521
Long An,2001,winter_spring,261.4,43.5,1138.3,Low,46.38395995550627,-2.8839599555062705
Long An,2001,summer_autumn,155.3,28.0,435.2,Low,30.63380051909553,-2.63380051909553
Long An,2001,main_season,24.2,21.8,52.7,Medium,21.48838709677443,0.3116129032255692
Long An,2002,winter_spring,244.6,48.7,1192.3,High,47.39408231368202,1.3059176863179829
Long An,2002,summer_autumn,166.2,29.9,496.2,Low,31.689039673711704,-1.7890396737117058
Long An,2002,main_season,22.5,22.3,50.1,Medium,22.303870967742114,-0.0038709677421131516
Long An,2003,winter_spring,233.4,50.2,1172.6,High,48.40420467185777,1.7957953281422334
Long An,2003,summer_autumn,168.6,32.3,544.8,Medium,32.74427882832833,-0.4442788283283363
Long An,2003,main_season,22.1,25.1,55.4,Medium,23.119354838709796,1.9806451612902052
Long An,2004,winter_spring,230.2,50.5,1163.5,High,49.41432703003352,1.085672969966481
Long An,2004,summer_autumn,181.5,37.5,680.0,High,33.79951798294451,3.700482017055492
Long An,2004,main_season,21.7,27.3,59.2,High,23.934838709677706,3.3651612903222947
Long An,2005,winter_spring,235.5,53.3,1255.4,High,50.42444938820927,2.875550611790729
Long An,2005,summer_autumn,174.9,35.6,622.9,Medium,34.85475713756068,0.7452428624393193
Long An,2005,main_season,18.9,29.6,55.9,High,24.75032258064539,4.849677419354613
Long An,2006,winter_spring,234.5,51.0,1196.9,Medium,51.43457174638502,-0.43457174638501783
Long An,2006,summer_autumn,183.2,29.1,533.6,Low,35.90999629217686,-6.809996292176855
Long An,2006,main_season,15.5,25.1,38.9,Low,25.56580645161307,-0.46580645161306933
Long An,2007,winter_spring,234.2,52.1,1220.4,Medium,52.44469410456077,-0.3446941045607659
Long An,2007,summer_autumn,178.8,39.3,703.5,High,36.96523544679303,2.3347645532069663
Long An,2007,main_season,15.4,17.3,26.7,Low,26.381290322580753,-9.081290322580752
Long An,2008,winter_spring,240.0,54.0,1296.8,Medium,53.45481646273652,0.5451835372634832
Long An,2008,summer_autumn,201.7,41.4,834.5,High,38.020474601409205,3.3795253985907934
Long An,2008,main_season,15.3,30.6,46.8,High,27.196774193548663,3.4032258064513385
