province,year,season,rice_yield,yield_class,expected_yield,residual
Long An,1995,winter_spring,37.8,Low,40.323225806451774,-2.5232258064517765
Long An,1995,summer_autumn,29.2,High,24.30236559139803,4.89763440860197
Long An,1995,main_season,15.4,Medium,16.595483870967882,-1.1954838709678821
Long An,1996,winter_spring,40.5,Medium,41.33334816462752,-0.8333481646275231
Long An,1996,summer_autumn,24.8,Medium,25.35760474601466,-0.5576047460146576
Long An,1996,main_season,19.0,High,17.410967741935565,1.5890322580644352
Long An,1997,winter_spring,42.1,Medium,42.34347052280327,-0.2434705228032712
Long An,1997,summer_autumn,23.3,Low,26.412843900630833,-3.112843900630832
Long An,1997,main_season,18.5,Medium,18.226451612903475,0.2735483870965254
Long An,1998,winter_spring,43.7,Medium,43.35359288097902,0.34640711902098076
Long An,1998,summer_autumn,24.5,Low,27.468083055247007,-2.968083055247007
Long An,1998,main_season,25.1,High,19.041935483871157,6.0580645161288444
Long An,1999,winter_spring,40.7,Low,44.36371523915477,-3.6637152391547687
Long An,1999,summer_autumn,29.6,Medium,28.52332220986318,1.07667779013682
Long An,1999,main_season,15.6,Low,19.85741935483884,-4.25741935483884
Long An,2000,winter_spring,42.8,Low,45.37383759733052,-2.573837597330524
Long An,2000,summer_autumn,25.8,Low,29.578561364479356,-3.778561364479355
Long An,2000,main_season,14.3,Low,20.67290322580652,-6.372903225806521
Long An,2001,winter_spring,43.5,Low,46.38395995550627,-2.8839599555062705
Long An,2001,summer_autumn,28.0,Low,30.63380051909553,-2.63380051909553
Long An,2001,main_season,21.8,Medium,21.48838709677443,0.3116129032255692
Long An,2002,winter_spring,48.7,Medium,47.39408231368202,1.3059176863179829
Long An,2002,summer_autumn,29.9,Low,31.689039673711704,-1.7890396737117058
Long An,2002,main_season,22.3,Medium,22.303870967742114,-0.0038709677421131516
Long An,2003,winter_spring,50.2,High,48.40420467185777,1.7957953281422334
Long An,2003,summer_autumn,32.3,Medium,32.74427882832833,-0.4442788283283363
Long An,2003,main_season,25.1,High,23.119354838709796,1.9806451612902052
Long An,2004,winter_spring,50.5,Medium,49.41432703003352,1.085672969966481
Long An,2004,summer_autumn,37.5,High,33.79951798294451,3.700482017055492
Long An,2004,main_season,27.3,High,23.934838709677706,3.3651612903222947
Long An,2005,winter_spring,53.3,High,50.42444938820927,2.875550611790729
