id_vụ,year,yield_class,event_sequence
Long An_1995_winter_spring,1995,Low,"['stage_1_Vừa-Khô', 'stage_2_Mát-Khô', 'stage_3_Vừa-Khô', 'stage_4_Vừa-Khô', 'stage_5_Nóng-Khô']"
Long An_1995_summer_autumn,1995,High,"['stage_1_Nóng-Khô', 'stage_2_Nóng-Khô', 'stage_3_Nóng-Vừa', 'stage_4_Nóng-Ướt', 'stage_5_Mát-Ướt']"
Long An_1995_main_season,1995,Low,"['stage_1_Nóng-Vừa', 'stage_2_Nóng-Ướt', 'stage_3_Vừa-Ướt', 'stage_4_Vừa-Ướt', 'stage_5_Vừa-Ướt']"
Long An_1996_winter_spring,1996,Medium,"['stage_1_Mát-Khô', 'stage_2_Mát-Khô', 'stage_3_Mát-Khô', 'stage_4_Mát-Khô', 'stage_5_Vừa-Khô']"
Long An_1996_summer_autumn,1996,Medium,"['stage_1_Nóng-Vừa', 'stage_2_Vừa-Ướt', 'stage_3_Vừa-Vừa', 'stage_4_Vừa-Vừa', 'stage_5_Vừa-Vừa']"
Long An_1996_main_season,1996,Medium,"['stage_1_Vừa-Ướt', 'stage_2_Vừa-Ướt', 'stage_3_Vừa-Vừa', 'stage_4_Vừa-Vừa', 'stage_5_Vừa-Vừa']"
Long An_1997_winter_spring,1997,Medium,"['stage_1_Mát-Ướt', 'stage_2_Mát-Vừa', 'stage_3_Mát-Khô', 'stage_4_Mát-Khô', 'stage_5_Vừa-Khô']"
Long An_1997_summer_autumn,1997,Low,"['stage_1_Nóng-Khô', 'stage_2_Nóng-Vừa', 'stage_3_Nóng-Khô', 'stage_4_Nóng-Vừa', 'stage_5_Mát-Ướt']"
Long An_1997_main_season,1997,Medium,"['stage_1_Vừa-Vừa', 'stage_2_Nóng-Vừa', 'stage_3_Vừa-Ướt', 'stage_4_Mát-Ướt', 'stage_5_Vừa-Vừa']"
Long An_1998_winter_spring,1998,Medium,"['stage_1_Vừa-Khô', 'stage_2_Nóng-Khô', 'stage_3_Nóng-Khô', 'stage_4_Nóng-Khô', 'stage_5_Nóng-Khô']"
Long An_1998_summer_autumn,1998,Low,"['stage_1_Nóng-Khô', 'stage_2_Nóng-Vừa', 'stage_3_Nóng-Ướt', 'stage_4_Nóng-Ướt', 'stage_5_Nóng-Vừa']"
Long An_1998_main_season,1998,High,"['stage_1_Nóng-Ướt', 'stage_2_Vừa-Ướt', 'stage_3_Vừa-Vừa', 'stage_4_Nóng-Vừa', 'stage_5_Nóng-Ướt']"
Long An_1999_winter_spring,1999,Low,"['stage_1_Mát-Vừa', 'stage_2_Mát-Khô', 'stage_3_Mát-Khô', 'stage_4_Mát-Khô', 'stage_5_Mát-Khô']"
Long An_1999_summer_autumn,1999,High,"['stage_1_Vừa-Ướt', 'stage_2_Mát-Ướt', 'stage_3_Mát-Ướt', 'stage_4_Vừa-Vừa', 'stage_5_Mát-Vừa']"
Long An_1999_main_season,1999,Low,"['stage_1_Mát-Ướt', 'stage_2_Mát-Vừa', 'stage_3_Mát-Vừa', 'stage_4_Mát-Ướt', 'stage_5_Vừa-Vừa']"
Long An_2000_winter_spring,2000,Low,"['stage_1_Mát-Vừa', 'stage_2_Mát-Khô', 'stage_3_Mát-Khô', 'stage_4_Mát-Khô', 'stage_5_Nóng-Khô']"
Long An_2000_summer_autumn,2000,Low,"['stage_1_Vừa-Vừa', 'stage_2_Nóng-Vừa', 'stage_3_Vừa-Ướt', 'stage_4_Vừa-Ướt', 'stage_5_Mát-Vừa']"
Long An_2000_main_season,2000,Low,"['stage_1_Vừa-Ướt', 'stage_2_Vừa-Vừa', 'stage_3_Mát-Vừa', 'stage_4_Vừa-Vừa', 'stage_5_Mát-Ướt']"
Long An_2001_winter_spring,2001,Low,"['stage_1_Mát-Vừa', 'stage_2_Mát-Vừa', 'stage_3_Mát-Khô', 'stage_4_Mát-Khô', 'stage_5_Vừa-Khô']"
Long An_2001_summer_autumn,2001,Low,"['stage_1_Nóng-Vừa', 'stage_2_Nóng-Vừa', 'stage_3_Nóng-Vừa', 'stage_4_Vừa-Vừa', 'stage_5_Nóng-Vừa']"
Long An_2001_main_season,2001,Medium,"['stage_1_Vừa-Vừa', 'stage_2_Vừa-Vừa', 'stage_3_Vừa-Vừa', 'stage_4_Nóng-Vừa', 'stage_5_Mát-Ướt']"
Long An_2002_winter_spring,2002,High,"['stage_1_Mát-Khô', 'stage_2_Vừa-Khô', 'stage_3_Mát-Khô', 'stage_4_Nóng-Khô', 'stage_5_Nóng-Khô']"
Long An_2002_summer_autumn,2002,Low,"['stage_1_Nóng-Khô', 'stage_2_Nóng-Khô', 'stage_3_Nóng-Vừa', 'stage_4_Nóng-Vừa', 'stage_5_Nóng-Vừa']"
Long An_2002_main_season,2002,Medium,"['stage_1_Nóng-Vừa', 'stage_2_Vừa-Ướt', 'stage_3_Nóng-Vừa', 'stage_4_Nóng-Vừa', 'stage_5_Mát-Vừa']"
Long An_2003_winter_spring,2003,High,"['stage_1_Mát-Vừa', 'stage_2_Mát-Khô', 'stage_3_Mát-Khô', 'stage_4_Vừa-Khô', 'stage_5_Nóng-Khô']"
Long An_2003_summer_autumn,2003,Medium,"['stage_1_Nóng-Khô', 'stage_2_Vừa-Ướt', 'stage_3_Nóng-Vừa', 'stage_4_Vừa-Ướt', 'stage_5_Mát-Ướt']"
Long An_2003_main_season,2003,Medium,"['stage_1_Vừa-Ướt', 'stage_2_Vừa-Vừa', 'stage_3_Mát-Ướt', 'stage_4_Vừa-Ướt', 'stage_5_Nóng-Vừa']"
Long An_2004_winter_spring,2004,High,"['stage_1_Mát-Khô', 'stage_2_Mát-Khô', 'stage_3_Vừa-Khô', 'stage_4_Vừa-Khô', 'stage_5_Vừa-Khô']"
Long An_2004_summer_autumn,2004,High,"['stage_1_Nóng-Khô', 'stage_2_Nóng-Vừa', 'stage_3_Mát-Ướt', 'stage_4_Nóng-Vừa', 'stage_5_Mát-Vừa']"
Long An_2004_main_season,2004,High,"['stage_1_Vừa-Ướt', 'stage_2_Vừa-Ướt', 'stage_3_Vừa-Vừa', 'stage_4_Mát-Ướt', 'stage_5_Vừa-Ướt']"
Long An_2005_winter_spring,2005,High,"['stage_1_Vừa-Khô', 'stage_2_Mát-Khô', 'stage_3_Mát-Khô', 'stage_4_Mát-Khô', 'stage_5_Nóng-Khô']"
Long An_2005_summer_autumn,2005,Medium,"['stage_1_Nóng-Khô', 'stage_2_Nóng-Vừa', 'stage_3_Nóng-Vừa', 'stage_4_Nóng-Ướt', 'stage_5_Vừa-Vừa']"
Long An_2005_main_season,2005,High,"['stage_1_Vừa-Vừa', 'stage_2_Nóng-Vừa', 'stage_3_Vừa-Ướt', 'stage_4_Vừa-Ướt', 'stage_5_Nóng-Vừa']"
Long An_2006_winter_spring,2006,Medium,"['stage_1_Mát-Ướt', 'stage_2_Mát-Khô', 'stage_3_Mát-Khô', 'stage_4_Vừa-Khô', 'stage_5_Nóng-Khô']"
Long An_2006_summer_autumn,2006,Low,"['stage_1_Nóng-Vừa', 'stage_2_Vừa-Vừa', 'stage_3_Vừa-Vừa', 'stage_4_Mát-Ướt', 'stage_5_Vừa-Vừa']"
Long An_2006_main_season,2006,Low,"['stage_1_Vừa-Ướt', 'stage_2_Vừa-Ướt', 'stage_3_Mát-Ướt', 'stage_4_Vừa-Vừa', 'stage_5_Vừa-Ướt']"
Long An_2007_winter_spring,2007,Medium,"['stage_1_Vừa-Khô', 'stage_2_Vừa-Khô', 'stage_3_Mát-Vừa', 'stage_4_Mát-Khô', 'stage_5_Nóng-Khô']"
Long An_2007_summer_autumn,2007,High,"['stage_1_Nóng-Vừa', 'stage_2_Vừa-Ướt', 'stage_3_Nóng-Vừa', 'stage_4_Vừa-Ướt', 'stage_5_Vừa-Vừa']"
