id_vụ,year,event_sequence,yield_class
Long An_1995_winter_spring,1995,"['stage_1_Vừa-Khô', 'stage_2_Mát-Khô', 'stage_3_Vừa-Khô', 'stage_4_Vừa-Khô', 'stage_5_Nóng-Khô']",Low
Long An_1995_summer_autumn,1995,"['stage_1_Nóng-Khô', 'stage_2_Nóng-Khô', 'stage_3_Nóng-Vừa', 'stage_4_Nóng-Ướt', 'stage_5_Mát-Ướt']",High
Long An_1995_main_season,1995,"['stage_1_Nóng-Vừa', 'stage_2_Nóng-Ướt', 'stage_3_Vừa-Ướt', 'stage_4_Vừa-Ướt', 'stage_5_Vừa-Ướt']",Medium
Long An_1996_winter_spring,1996,"['stage_1_Mát-Khô', 'stage_2_Mát-Khô', 'stage_3_Mát-Khô', 'stage_4_Mát-Khô', 'stage_5_Vừa-Khô']",Medium
Long An_1996_summer_autumn,1996,"['stage_1_Nóng-Vừa', 'stage_2_Vừa-Ướt', 'stage_3_Vừa-Vừa', 'stage_4_Vừa-Vừa', 'stage_5_Vừa-Vừa']",Medium
Long An_1996_main_season,1996,"['stage_1_Vừa-Ướt', 'stage_2_Vừa-Ướt', 'stage_3_Vừa-Vừa', 'stage_4_Vừa-Vừa', 'stage_5_Vừa-Vừa']",High
Long An_1997_winter_spring,1997,"['stage_1_Mát-Ướt', 'stage_2_Mát-Vừa', 'stage_3_Mát-Khô', 'stage_4_Mát-Khô', 'stage_5_Vừa-Khô']",Medium
Long An_1997_summer_autumn,1997,"['stage_1_Nóng-Khô', 'stage_2_Nóng-Vừa', 'stage_3_Nóng-Khô', 'stage_4_Nóng-Vừa', 'stage_5_Mát-Ướt']",Low
Long An_1997_main_season,1997,"['stage_1_Vừa-Vừa', 'stage_2_Nóng-Vừa', 'stage_3_Vừa-Ướt', 'stage_4_Mát-Ướt', 'stage_5_Vừa-Vừa']",Medium
Long An_1998_winter_spring,1998,"['stage_1_Vừa-Khô', 'stage_2_Nóng-Khô', 'stage_3_Nóng-Khô', 'stage_4_Nóng-Khô', 'stage_5_Nóng-Khô']",Medium
Long An_1998_summer_autumn,1998,"['stage_1_Nóng-Khô', 'stage_2_Nóng-Vừa', 'stage_3_Nóng-Ướt', 'stage_4_Nóng-Ướt', 'stage_5_Nóng-Vừa']",Low
Long An_1998_main_season,1998,"['stage_1_Nóng-Ướt', 'stage_2_Vừa-Ướt', 'stage_3_Vừa-Vừa', 'stage_4_Nóng-Vừa', 'stage_5_Nóng-Ướt']",High
Long An_1999_winter_spring,1999,"['stage_1_Mát-Vừa', 'stage_2_Mát-Khô', 'stage_3_Mát-Khô', 'stage_4_Mát-Khô', 'stage_5_Mát-Khô']",Low
Long An_1999_summer_autumn,1999,"['stage_1_Vừa-Ướt', 'stage_2_Mát-Ướt', 'stage_3_Mát-Ướt', 'stage_4_Vừa-Vừa', 'stage_5_Mát-Vừa']",Medium
Long An_1999_main_season,1999,"['stage_1_Mát-Ướt', 'stage_2_Mát-Vừa', 'stage_3_Mát-Vừa', 'stage_4_Mát-Ướt', 'stage_5_Vừa-Vừa']",Low
Long An_2000_winter_spring,2000,"['stage_1_Mát-Vừa', 'stage_2_Mát-Khô', 'stage_3_Mát-Khô', 'stage_4_Mát-Khô', 'stage_5_Nóng-Khô']",Low
Long An_2000_summer_autumn,2000,"['stage_1_Vừa-Vừa', 'stage_2_Nóng-Vừa', 'stage_3_Vừa-Ướt', 'stage_4_Vừa-Ướt', 'stage_5_Mát-Vừa']",Low
Long An_2000_main_season,2000,"['stage_1_Vừa-Ướt', 'stage_2_Vừa-Vừa', 'stage_3_Mát-Vừa', 'stage_4_Vừa-Vừa', 'stage_5_Mát-Ướt']",Low
Long An_2001_winter_spring,2001,"['stage_1_Mát-Vừa', 'stage_2_Mát-Vừa', 'stage_3_Mát-Khô', 'stage_4_Mát-Khô', 'stage_5_Vừa-Khô']",Low
