feature,importance
feature_24,0.04149891
feature_5,0.040695313
feature_34,0.03897152
feature_19,0.03414668
feature_42,0.033976275
feature_11,0.033776976
feature_35,0.033544034
feature_8,0.03270578
feature_3,0.031778067
feature_20,0.03154382
feature_17,0.031439614
feature_47,0.0305776
feature_48,0.030229406
feature_30,0.02968874
feature_6,0.029647438
feature_51,0.029432377
feature_12,0.029346606
feature_2,0.029045684
feature_29,0.028823292
feature_15,0.02871387
feature_9,0.028346708
feature_13,0.027955076
feature_16,0.027465409
feature_0,0.027050124
feature_1,0.02693941
feature_4,0.02635899
feature_25,0.024566535
feature_46,0.024505641
feature_45,0.023926804
feature_36,0.023726888
feature_28,0.023602156
feature_38,0.023303216
feature_7,0.02309083
feature_43,0.019580131
feature_40,0.0
feature_50,0.0
feature_49,0.0
feature_44,0.0
feature_10,0.0
feature_41,0.0
feature_23,0.0
feature_39,0.0
feature_37,0.0
feature_14,0.0
feature_18,0.0
feature_33,0.0
feature_32,0.0
feature_31,0.0
feature_21,0.0
feature_22,0.0
feature_27,0.0
feature_26,0.0
