feature,importance
stage_4_avg_et0,1395
stage_1_total_precip,1374
stage_2_avg_et0,1279
stage_3_avg_et0,1277
stage_5_avg_temp,1251
stage_4_total_precip,1245
stage_5_total_precip,1243
stage_3_total_precip,1136
stage_3_avg_temp,1109
stage_1_avg_et0,1086
stage_5_avg_et0,1063
stage_4_avg_temp,1053
stage_2_avg_temp,1000
stage_2_total_precip,898
stage_1_avg_temp,834
stage_1_count_heat_days,155
stage_2_count_heat_days,71
pat_019__stage_2_Vừa-Ướt__stage_5_Vừa-Vừa,48
pat_003__stage_2_Mát-Vừa,37
pat_026__stage_4_Vừa-Vừa__stage_5_Vừa-Vừa,24
pat_029__stage_2_Mát-Khô__stage_3_Mát-Khô__stage_5_Mát-Khô,23
pat_010__stage_1_Mát-Khô__stage_2_Mát-Khô,22
pat_005__stage_3_Vừa-Khô,21
pat_018__stage_2_Vừa-Ướt__stage_3_Vừa-Vừa,20
pat_009__stage_5_Vừa-Khô,20
pat_011__stage_1_Mát-Khô__stage_3_Mát-Khô,19
pat_023__stage_3_Vừa-Vừa__stage_5_Vừa-Vừa,19
pat_017__stage_2_Vừa-Vừa__stage_5_Vừa-Vừa,18
pat_004__stage_3_Mát-Vừa,17
pat_014__stage_2_Mát-Khô__stage_3_Mát-Khô,15
pat_022__stage_3_Vừa-Vừa__stage_4_Vừa-Vừa,14
pat_001__stage_1_Mát-Vừa,13
pat_012__stage_1_Mát-Vừa__stage_3_Mát-Khô,12
pat_000__stage_1_Mát-Khô,10
pat_020__stage_3_Mát-Khô__stage_4_Mát-Khô,9
pat_025__stage_4_Mát-Khô__stage_5_Vừa-Khô,9
pat_027__stage_1_Mát-Khô__stage_2_Mát-Khô__stage_3_Mát-Khô,8
pat_015__stage_2_Mát-Khô__stage_4_Mát-Khô,7
pat_008__stage_5_Mát-Vừa,6
pat_007__stage_5_Mát-Khô,5
pat_028__stage_2_Mát-Khô__stage_3_Mát-Khô__stage_4_Mát-Khô,4
pat_021__stage_3_Mát-Khô__stage_5_Mát-Khô,3
pat_016__stage_2_Mát-Khô__stage_5_Mát-Khô,3
pat_030__stage_2_Mát-Khô__stage_4_Mát-Khô__stage_5_Mát-Khô,2
pat_024__stage_4_Mát-Khô__stage_5_Mát-Khô,2
pat_002__stage_1_Mát-Ướt,2
pat_013__stage_1_Mát-Vừa__stage_4_Mát-Khô,2
pat_031__stage_3_Mát-Khô__stage_4_Mát-Khô__stage_5_Mát-Khô,1
stage_5_count_heat_days,0
stage_4_count_heat_days,0
stage_3_count_heat_days,0
pat_006__stage_4_Mát-Ướt,0
