feature,importance
pat_016__stage_2_Mát-Khô__stage_5_Mát-Khô,1.8608041215817457
pat_007__stage_5_Mát-Khô,1.1332751870626696
pat_031__stage_3_Mát-Khô__stage_4_Mát-Khô__stage_5_Mát-Khô,1.052476983084723
pat_030__stage_2_Mát-Khô__stage_4_Mát-Khô__stage_5_Mát-Khô,0.9282273891047911
pat_029__stage_2_Mát-Khô__stage_3_Mát-Khô__stage_5_Mát-Khô,0.7964239484996961
stage_3_count_heat_days,0.7644590966383059
pat_028__stage_2_Mát-Khô__stage_3_Mát-Khô__stage_4_Mát-Khô,0.5313775970970274
stage_1_avg_et0,0.5307635525344081
stage_3_avg_temp,0.46344352045540216
pat_014__stage_2_Mát-Khô__stage_3_Mát-Khô,0.4542099499383911
stage_4_avg_temp,0.4276895623384181
pat_015__stage_2_Mát-Khô__stage_4_Mát-Khô,0.3808446979873588
stage_1_avg_temp,0.3289369209451391
pat_000__stage_1_Mát-Khô,0.3149929136949862
stage_2_total_precip,0.3080127974330072
pat_005__stage_3_Vừa-Khô,0.30146174001721976
stage_1_total_precip,0.26519054564767064
pat_001__stage_1_Mát-Vừa,0.25653516857799286
stage_5_avg_et0,0.24875090365664568
stage_5_total_precip,0.22437532797951834
pat_020__stage_3_Mát-Khô__stage_4_Mát-Khô,0.21375439249525932
stage_3_avg_et0,0.21094163854787076
stage_3_total_precip,0.2042675943739067
pat_024__stage_4_Mát-Khô__stage_5_Mát-Khô,0.18599963553837337
pat_010__stage_1_Mát-Khô__stage_2_Mát-Khô,0.1645209334163559
stage_4_count_heat_days,0.15590213464376387
pat_012__stage_1_Mát-Vừa__stage_3_Mát-Khô,0.15108508041560512
pat_021__stage_3_Mát-Khô__stage_5_Mát-Khô,0.14331970849569406
stage_2_avg_et0,0.1323870278842706
pat_009__stage_5_Vừa-Khô,0.13220095203736157
pat_003__stage_2_Mát-Vừa,0.12801591447418426
stage_4_total_precip,0.12623554484250085
pat_017__stage_2_Vừa-Vừa__stage_5_Vừa-Vừa,0.12066381580288688
stage_4_avg_et0,0.1200300573379478
pat_026__stage_4_Vừa-Vừa__stage_5_Vừa-Vừa,0.11636871600398561
stage_2_avg_temp,0.10892054906081428
pat_019__stage_2_Vừa-Ướt__stage_5_Vừa-Vừa,0.10872510525425483
pat_004__stage_3_Mát-Vừa,0.10768678198274911
pat_027__stage_1_Mát-Khô__stage_2_Mát-Khô__stage_3_Mát-Khô,0.09465239899761944
stage_5_avg_temp,0.08590061114082685
stage_2_count_heat_days,0.08446621298733796
stage_5_count_heat_days,0.07993281111138739
pat_006__stage_4_Mát-Ướt,0.06083716784471221
pat_025__stage_4_Mát-Khô__stage_5_Vừa-Khô,0.05703598611227926
pat_013__stage_1_Mát-Vừa__stage_4_Mát-Khô,0.05696000419093466
pat_023__stage_3_Vừa-Vừa__stage_5_Vừa-Vừa,0.0561091203550964
pat_002__stage_1_Mát-Ướt,0.04742384426771404
pat_008__stage_5_Mát-Vừa,0.0456665182042876
stage_1_count_heat_days,0.04257540081814196
pat_011__stage_1_Mát-Khô__stage_3_Mát-Khô,0.03759788930642063
pat_018__stage_2_Vừa-Ướt__stage_3_Vừa-Vừa,0.02664283085610229
pat_022__stage_3_Vừa-Vừa__stage_4_Vừa-Vừa,0.013532944814910594
