feature,importance
stage_5_avg_et0,0.07567600737599792
stage_4_total_precip,0.06677612762183155
stage_3_avg_et0,0.061903931365162986
stage_5_total_precip,0.058194579764425276
stage_4_avg_et0,0.056256608190889845
stage_4_avg_temp,0.05612735050997518
stage_3_total_precip,0.056096421650339054
stage_3_avg_temp,0.05532415867455965
stage_2_total_precip,0.05338095909347665
stage_1_total_precip,0.0528893820781303
stage_1_avg_et0,0.05216331353517719
stage_2_avg_temp,0.04599469649752863
stage_1_avg_temp,0.044793390635595856
stage_2_avg_et0,0.04445412321645562
stage_5_avg_temp,0.040362744958367794
pat_005__stage_3_Vừa-Khô,0.014439768901731355
stage_1_count_heat_days,0.014370282521645232
pat_011__stage_1_Mát-Khô__stage_3_Mát-Khô,0.011682481139216636
pat_028__stage_2_Mát-Khô__stage_3_Mát-Khô__stage_4_Mát-Khô,0.010428184852409636
pat_014__stage_2_Mát-Khô__stage_3_Mát-Khô,0.009456504211202279
pat_027__stage_1_Mát-Khô__stage_2_Mát-Khô__stage_3_Mát-Khô,0.008836011845396495
pat_022__stage_3_Vừa-Vừa__stage_4_Vừa-Vừa,0.008760157349861972
pat_012__stage_1_Mát-Vừa__stage_3_Mát-Khô,0.008159941135455106
pat_026__stage_4_Vừa-Vừa__stage_5_Vừa-Vừa,0.007916857167367987
pat_019__stage_2_Vừa-Ướt__stage_5_Vừa-Vừa,0.0065530417956792516
pat_001__stage_1_Mát-Vừa,0.006253136442115071
pat_008__stage_5_Mát-Vừa,0.00585667912349355
pat_025__stage_4_Mát-Khô__stage_5_Vừa-Khô,0.005005884815309479
stage_2_count_heat_days,0.004942523590898276
pat_024__stage_4_Mát-Khô__stage_5_Mát-Khô,0.004623335968027105
pat_003__stage_2_Mát-Vừa,0.004457243541571977
pat_013__stage_1_Mát-Vừa__stage_4_Mát-Khô,0.004366207205886075
pat_007__stage_5_Mát-Khô,0.004157182343336882
pat_029__stage_2_Mát-Khô__stage_3_Mát-Khô__stage_5_Mát-Khô,0.003997987504393307
pat_023__stage_3_Vừa-Vừa__stage_5_Vừa-Vừa,0.0038024120608700046
pat_010__stage_1_Mát-Khô__stage_2_Mát-Khô,0.003629862298677291
pat_004__stage_3_Mát-Vừa,0.002947650948105275
pat_009__stage_5_Vừa-Khô,0.002926323472192368
pat_020__stage_3_Mát-Khô__stage_4_Mát-Khô,0.002700596226798319
pat_016__stage_2_Mát-Khô__stage_5_Mát-Khô,0.0026101993137473884
pat_030__stage_2_Mát-Khô__stage_4_Mát-Khô__stage_5_Mát-Khô,0.0023851916629531547
pat_021__stage_3_Mát-Khô__stage_5_Mát-Khô,0.0023641330118535937
pat_031__stage_3_Mát-Khô__stage_4_Mát-Khô__stage_5_Mát-Khô,0.0022891306912135438
pat_000__stage_1_Mát-Khô,0.0022174998417685133
pat_015__stage_2_Mát-Khô__stage_4_Mát-Khô,0.002090000128291273
stage_5_count_heat_days,0.0018723597559789586
pat_018__stage_2_Vừa-Ướt__stage_3_Vừa-Vừa,0.0014377523684364498
pat_017__stage_2_Vừa-Vừa__stage_5_Vừa-Vừa,0.0010476269134495942
pat_006__stage_4_Mát-Ướt,0.0007871652819361048
pat_002__stage_1_Mát-Ướt,0.00023488940081713651
stage_4_count_heat_days,0.0
stage_3_count_heat_days,0.0
