feature,importance
pat_029__stage_2_Mát-Khô__stage_3_Mát-Khô__stage_4_Mát-Khô,0.03984692
pat_006__stage_1_Mát-Khô__stage_2_Mát-Khô__stage_3_Mát-Khô,0.036993418
pat_015__stage_2_Mát-Khô__stage_3_Mát-Khô,0.03471572
pat_008__stage_2_Mát-Vừa,0.03440618
pat_009__stage_5_Mát-Khô,0.033706345
stage_5_avg_et0,0.0329728
stage_3_avg_et0,0.030112887
pat_018__stage_5_Vừa-Khô,0.029164724
stage_5_total_precip,0.02789772
pat_000__stage_3_Vừa-Vừa__stage_5_Vừa-Vừa,0.027703967
stage_4_total_precip,0.026537834
stage_4_avg_temp,0.02624983
pat_017__stage_1_Mát-Khô__stage_3_Mát-Khô,0.026184328
stage_2_total_precip,0.025414536
stage_3_avg_temp,0.024978055
stage_4_avg_et0,0.024950517
pat_005__stage_4_Vừa-Vừa__stage_5_Vừa-Vừa,0.024865633
pat_011__stage_2_Mát-Khô__stage_3_Mát-Khô__stage_5_Mát-Khô,0.024596035
pat_012__stage_2_Vừa-Ướt__stage_5_Vừa-Vừa,0.023780942
pat_020__stage_3_Vừa-Khô,0.023479486
stage_1_total_precip,0.023023864
pat_030__stage_1_Mát-Khô,0.022919381
stage_1_avg_et0,0.022864275
pat_003__stage_3_Vừa-Vừa__stage_4_Vừa-Vừa,0.02271302
pat_027__stage_5_Mát-Vừa,0.022622723
pat_013__stage_2_Vừa-Ướt__stage_3_Vừa-Vừa,0.02261462
stage_5_avg_temp,0.022374047
pat_021__stage_1_Mát-Vừa,0.021979025
stage_3_total_precip,0.021757552
pat_002__stage_2_Vừa-Vừa__stage_5_Vừa-Vừa,0.021548275
stage_2_avg_et0,0.021267768
stage_2_avg_temp,0.021051578
pat_010__stage_3_Mát-Vừa,0.020939864
stage_2_count_heat_days,0.019551067
pat_001__stage_1_Mát-Khô__stage_2_Mát-Khô,0.019176992
pat_028__stage_2_Mát-Khô__stage_4_Mát-Khô,0.018201737
stage_1_count_heat_days,0.017992148
stage_1_avg_temp,0.017763088
pat_004__stage_1_Mát-Vừa__stage_3_Mát-Khô,0.015956514
pat_031__stage_3_Mát-Khô__stage_5_Mát-Khô,0.014336008
pat_022__stage_1_Mát-Vừa__stage_4_Mát-Khô,0.010788677
pat_016__stage_2_Mát-Khô__stage_4_Mát-Khô__stage_5_Mát-Khô,0.0
pat_019__stage_4_Mát-Khô__stage_5_Mát-Khô,0.0
pat_014__stage_1_Mát-Ướt,0.0
pat_007__stage_2_Mát-Khô__stage_5_Mát-Khô,0.0
pat_023__stage_4_Mát-Ướt,0.0
pat_024__stage_3_Mát-Khô__stage_4_Mát-Khô,0.0
pat_025__stage_3_Mát-Khô__stage_4_Mát-Khô__stage_5_Mát-Khô,0.0
pat_026__stage_4_Mát-Khô__stage_5_Vừa-Khô,0.0
stage_5_count_heat_days,0.0
stage_4_count_heat_days,0.0
stage_3_count_heat_days,0.0
